sample_id,unique_sample_id,sample_label,Crop,treatment_2,date,watershed,AM_vs_ECM,soil_type,mycorrhizal_colonization_617_622,extra_mycol_722,extra_mycol_822,AP_617_622,BG_617_622,NAG_617_622,Phenox_617_622,Perox_617_622,AP_517_722,BG_517_722,NAG_517_722,Phenox_517_722,Perox_517_722
Brzostek_139,139,2022 3 AM2 B,,n fertilized,2022,3_ammonium_sulfate,AM,Bulk,43.79562044,12.82051282,59.67741935,0.48999159,0.25,0.003682039,,,0.25960056,0.087148833,0.003098598,0.301796482,0.299589342
Brzostek_141,141,2022 3 AM3 R,,n fertilized,2022,3_ammonium_sulfate,AM,Rhizosphere,,,,0.765569152,0.39,0.02121347,,,0.534432027,0.174842853,0.006650583,,
Brzostek_142,142,2022 3 AM3 B,,n fertilized,2022,3_ammonium_sulfate,AM,Bulk,49.18032787,11.81818182,,0.473664474,0.27,0.004092959,,,0.564779932,0.104561095,0.005220793,,
Brzostek_144,144,2022 3 AM4 R,,n fertilized,2022,3_ammonium_sulfate,AM,Rhizosphere,,,,0.394740015,0.153574511,0.011703882,,,0.36625331,0.189536924,0.006274336,0.511608999,1.059268738
Brzostek_145,145,2022 3 AM4 B,,n fertilized,2022,3_ammonium_sulfate,AM,Bulk,31.70731707,20.6185567,36.26373626,0.436674591,0.077112129,0.003809299,,,0.522380993,0.174411743,0.003926294,0.360648246,1.51740367
Brzostek_147,147,2022 3 AM5 R,,n fertilized,2022,3_ammonium_sulfate,AM,Rhizosphere,,,,0.299953783,0.135447199,0.00408218,,,0.021625718,0.401613017,0.010854865,0.362023143,0.537729605
Brzostek_148,148,2022 3 AM5 B,,n fertilized,2022,3_ammonium_sulfate,AM,Bulk,30.55555556,38.31775701,26.12612613,0.399505407,0.14004195,0.010691058,,,0.087991433,0.137732462,0.008108754,0.279985845,0.400724204
Brzostek_150,150,2022 3 AM6 R,,n fertilized,2022,3_ammonium_sulfate,AM,Rhizosphere,,,,0.556545683,0.451515993,0.011563431,,,0.718661983,0.482317005,0.004677548,0.660339119,0.657838028
Brzostek_151,151,2022 3 AM6 B,,n fertilized,2022,3_ammonium_sulfate,AM,Bulk,,28.92561983,34.7826087,0.292466637,0.402710115,0.014889078,,,0.744610628,0.13250196,0.004645743,0.316221464,0.110766804
Brzostek_153,153,2022 3 ECM1 R,,n fertilized,2022,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.38367307,0.327718534,0.008355995,,,0.505928543,0.117446623,0.004327583,0.795549571,0.437928832
Brzostek_154,154,2022 3 ECM1 B,,n fertilized,2022,3_ammonium_sulfate,ECM,Bulk,84,35.55555556,54.83870968,0.395616272,0.115323343,0.013795175,,,0.645163807,0.170148795,0.005683866,0.246485525,0.122486687
Brzostek_156,156,2022 3 ECM2 R,,n fertilized,2022,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.245562615,0.244704319,0.00279562,,,0.840586872,0.216701399,0.015064797,1.098494843,0.307247556
