sample_id,unique_sample_id,sample_label,date,site,sym,soil,myco
Brzostek_154,154,2022 3 ECM1 B,2022,3_ammonium_sulfate,ECM,Bulk,84
Brzostek_156,156,2022 3 ECM2 R,2022,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_157,157,2022 3 ECM2 B,2022,3_ammonium_sulfate,ECM,Bulk,100
Brzostek_160,160,2022 3 ECM3 R,2022,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_161,161,2022 3 ECM3 B,2022,3_ammonium_sulfate,ECM,Bulk,100
Brzostek_163,163,2022 3 ECM4 R,2022,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_164,164,2022 3 ECM4 B,2022,3_ammonium_sulfate,ECM,Bulk,100
Brzostek_166,166,2022 3 ECM5 R,2022,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_167,167,2022 3 ECM5 B,2022,3_ammonium_sulfate,ECM,Bulk,100
Brzostek_169,169,2022 3 ECM6 R,2022,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_170,170,2022 3 ECM6 B,2022,3_ammonium_sulfate,ECM,Bulk,100
Brzostek_172,172,2022 7 AM1 R,2022,7_ecosystem_recovery,AM,Rhizosphere,
Brzostek_173,173,2022 7 AM1 B,2022,7_ecosystem_recovery,AM,Bulk,
Brzostek_175,175,2022 7 AM2 R,2022,7_ecosystem_recovery,AM,Rhizosphere,
Brzostek_176,176,2022 7 AM2 B,2022,7_ecosystem_recovery,AM,Bulk,
Brzostek_178,178,2022 7 AM3 R,2022,7_ecosystem_recovery,AM,Rhizosphere,
Brzostek_179,179,2022 7 AM3 B,2022,7_ecosystem_recovery,AM,Bulk,
Brzostek_183,183,2022 7 AM5 R,2022,7_ecosystem_recovery,AM,Rhizosphere,
Brzostek_184,184,2022 7 AM5 B,2022,7_ecosystem_recovery,AM,Bulk,
Brzostek_186,186,2022 7 AM6 R,2022,7_ecosystem_recovery,AM,Rhizosphere,
Brzostek_187,187,2022 7 AM6 B,2022,7_ecosystem_recovery,AM,Bulk,
Brzostek_189,189,2022 7 ECM1 R,2022,7_ecosystem_recovery,ECM,Rhizosphere,
Brzostek_192,192,2022 7 ECM2 R,2022,7_ecosystem_recovery,ECM,Rhizosphere,
Brzostek_193,193,2022 7 ECM2 B,2022,7_ecosystem_recovery,ECM,Bulk,70.58823529
Brzostek_195,195,2022 7 ECM3 R,2022,7_ecosystem_recovery,ECM,Rhizosphere,
Brzostek_196,196,2022 7 ECM3 B,2022,7_ecosystem_recovery,ECM,Bulk,96.15384615
Brzostek_198,198,2022 7 ECM4 R,2022,7_ecosystem_recovery,ECM,Rhizosphere,
Brzostek_199,199,2022 7 ECM4 B,2022,7_ecosystem_recovery,ECM,Bulk,96.77419355
Brzostek_201,201,2022 7 ECM5 R,2022,7_ecosystem_recovery,ECM,Rhizosphere,
Brzostek_202,202,2022 7 ECM5 B,2022,7_ecosystem_recovery,ECM,Bulk,78.57142857
Brzostek_204,204,2022 7 ECM6 R,2022,7_ecosystem_recovery,ECM,Rhizosphere,
Brzostek_205,205,2022 7 ECM6 B,2022,7_ecosystem_recovery,ECM,Bulk,80.76923077
Brzostek_76,76,2017 7 AM2 R,2017,7_ecosystem_recovery,AM,Rhizosphere,
Brzostek_77,77,2017 7 AM3 R,2017,7_ecosystem_recovery,AM,Rhizosphere,
Brzostek_78,78,2017 7 AM5 R,2017,7_ecosystem_recovery,AM,Rhizosphere,
Brzostek_79,79,2017 7 AM6 R,2017,7_ecosystem_recovery,AM,Rhizosphere,
Brzostek_80,80,2017 3 ECM1 R,2017,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_81,81,2017 3 ECM2 R,2017,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_82,82,2017 3 ECM3 R,2017,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_83,83,2017 3 ECM4 R,2017,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_84,84,2017 3 ECM5 R,2017,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_85,85,2017 3 ECM6 R,2017,3_ammonium_sulfate,ECM,Rhizosphere,
Brzostek_86,86,2017 7 AM1 B,2017,7_ecosystem_recovery,AM,Bulk,60
Brzostek_87,87,2017 7 AM2 B,2017,7_ecosystem_recovery,AM,Bulk,81.48148148
Brzostek_88,88,2017 7 AM3 B,2017,7_ecosystem_recovery,AM,Bulk,76.5625
Brzostek_89,89,2017 7 AM4 B,2017,7_ecosystem_recovery,AM,Bulk,78.125
Brzostek_90,90,2017 7 AM5 B,2017,7_ecosystem_recovery,AM,Bulk,55.73770492
Brzostek_91,91,2017 7 AM6 B,2017,7_ecosystem_recovery,AM,Bulk,78
Brzostek_92,92,2017 3 ECM1 B,2017,3_ammonium_sulfate,ECM,Bulk,35.29411765
Brzostek_93,93,2017 3 ECM2 B,2017,3_ammonium_sulfate,ECM,Bulk,41.93548387
Brzostek_94,94,2017 3 ECM3 B,2017,3_ammonium_sulfate,ECM,Bulk,32.55813953
Brzostek_95,95,2017 3 ECM4 B,2017,3_ammonium_sulfate,ECM,Bulk,36.36363636
Brzostek_96,96,2017 3 ECM5 B,2017,3_ammonium_sulfate,ECM,Bulk,38
Brzostek_97,97,2017 3 ECM6 B,2017,3_ammonium_sulfate,ECM,Bulk,46.2962963
