"sample_id","sample_number","sample_info_id","site_treatment","date","site","symbiotroph","soil","measurement_date","am_colonization","ecm_colonziation","ap","bg","nag","phenox","perox"
"Brzostek_154","154","2022_3_ECM1_B","ammonium_sulfate","2022","ws3","ECM","Bulk","617_622",84,NA,0.395616272,0.115323343,0.013795175,NA,NA
"Brzostek_156","156","2022_3_ECM2_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","617_622",NA,NA,0.245562615,0.244704319,0.00279562,NA,NA
"Brzostek_157","157","2022_3_ECM2_B","ammonium_sulfate","2022","ws3","ECM","Bulk","617_622",100,NA,0.109114818,0.248855264,0.00712408,NA,NA
"Brzostek_160","160","2022_3_ECM3_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","617_622",NA,NA,0.325510489,0.4394248,0.044956674,NA,NA
"Brzostek_161","161","2022_3_ECM3_B","ammonium_sulfate","2022","ws3","ECM","Bulk","617_622",100,NA,0.107397479,0.222624861,0.013569816,NA,NA
"Brzostek_163","163","2022_3_ECM4_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","617_622",NA,NA,0.699329687,0.418999159,0.031974296,NA,NA
"Brzostek_164","164","2022_3_ECM4_B","ammonium_sulfate","2022","ws3","ECM","Bulk","617_622",100,NA,0.888440287,0.341400483,0.029991579,NA,NA
"Brzostek_166","166","2022_3_ECM5_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","617_622",NA,NA,0.780048657,0.449635691,0.052433177,NA,NA
"Brzostek_167","167","2022_3_ECM5_B","ammonium_sulfate","2022","ws3","ECM","Bulk","617_622",100,NA,0.614477895,0.257500923,NA,NA,NA
"Brzostek_169","169","2022_3_ECM6_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","617_622",NA,NA,0.300421173,0.201228376,0.015019583,NA,NA
"Brzostek_170","170","2022_3_ECM6_B","ammonium_sulfate","2022","ws3","ECM","Bulk","617_622",100,NA,0.311179453,0.205422355,0.024629529,NA,NA
"Brzostek_172","172","2022_7_AM1_R","recovery","2022","ws7","AM","Rhizosphere","617_622",NA,NA,0.951770997,0.28,0.005999594,NA,NA
"Brzostek_173","173","2022_7_AM1_B","recovery","2022","ws7","AM","Bulk","617_622",NA,NA,0.503066071,0.23,0.004891534,NA,NA
"Brzostek_175","175","2022_7_AM2_R","recovery","2022","ws7","AM","Rhizosphere","617_622",NA,NA,1.12666666,0.27,0.003435167,NA,NA
"Brzostek_176","176","2022_7_AM2_B","recovery","2022","ws7","AM","Bulk","617_622",NA,NA,1.001317084,0.27,0.003731978,NA,NA
"Brzostek_178","178","2022_7_AM3_R","recovery","2022","ws7","AM","Rhizosphere","617_622",NA,NA,0.988300761,0.19,0.018127949,NA,NA
"Brzostek_179","179","2022_7_AM3_B","recovery","2022","ws7","AM","Bulk","617_622",NA,NA,0.968549183,0.24,0.003929862,NA,NA
"Brzostek_183","183","2022_7_AM5_R","recovery","2022","ws7","AM","Rhizosphere","617_622",NA,NA,0.574445554,0.621106642,0.003453884,NA,NA
"Brzostek_184","184","2022_7_AM5_B","recovery","2022","ws7","AM","Bulk","617_622",NA,NA,0.277449277,0.529783758,0.010534446,NA,NA
"Brzostek_186","186","2022_7_AM6_R","recovery","2022","ws7","AM","Rhizosphere","617_622",NA,NA,0.298083188,0.161054208,0.010105109,NA,NA
"Brzostek_187","187","2022_7_AM6_B","recovery","2022","ws7","AM","Bulk","617_622",NA,NA,0.240070174,0.180391641,0.012729671,NA,NA
"Brzostek_189","189","2022_7_ECM1_R","recovery","2022","ws7","ECM","Rhizosphere","617_622",NA,NA,0.693130063,0.250379128,0.007370645,NA,NA
"Brzostek_192","192","2022_7_ECM2_R","recovery","2022","ws7","ECM","Rhizosphere","617_622",NA,NA,NA,0.257705165,0.00247244,NA,NA
"Brzostek_193","193","2022_7_ECM2_B","recovery","2022","ws7","ECM","Bulk","617_622",70.58823529,NA,NA,0.180270895,0.006750008,NA,NA
"Brzostek_195","195","2022_7_ECM3_R","recovery","2022","ws7","ECM","Rhizosphere","617_622",NA,NA,NA,0.175088553,0.039575065,NA,NA
"Brzostek_196","196","2022_7_ECM3_B","recovery","2022","ws7","ECM","Bulk","617_622",96.15384615,NA,NA,0.134559754,0.014485548,NA,NA
"Brzostek_198","198","2022_7_ECM4_R","recovery","2022","ws7","ECM","Rhizosphere","617_622",NA,NA,0.975175369,0.217585045,0.026765977,NA,NA
"Brzostek_199","199","2022_7_ECM4_B","recovery","2022","ws7","ECM","Bulk","617_622",96.77419355,NA,0.841805145,0.442156771,0.027634468,NA,NA
"Brzostek_201","201","2022_7_ECM5_R","recovery","2022","ws7","ECM","Rhizosphere","617_622",NA,NA,0.895385246,0.243330484,0.044389458,NA,NA
"Brzostek_202","202","2022_7_ECM5_B","recovery","2022","ws7","ECM","Bulk","617_622",78.57142857,NA,0.82136797,0.166357806,NA,NA,NA
"Brzostek_204","204","2022_7_ECM6_R","recovery","2022","ws7","ECM","Rhizosphere","617_622",NA,NA,0.90810396,0.246447356,0.014013691,NA,NA
"Brzostek_205","205","2022_7_ECM6_B","recovery","2022","ws7","ECM","Bulk","617_622",80.76923077,NA,0.665258303,0.13818399,0.021756711,NA,NA
"Brzostek_76","76","2017_7_AM2_R","recovery","2017","ws7","AM","Rhizosphere","617_622",NA,NA,0.259730018,0.065134243,0.020542217,0.366354582,2.257397675
